Ticker,Exchange,Sector,Industry,MarketCap,ProfitMargin,TradingAge
PDD,NMS,Consumer Cyclical,Internet Retail,136555798528.0,0.24435,8
ARM,NMS,Technology,Semiconductors,140555517952.0,0.17148,3
HTHIY,PNK,Industrials,Conglomerates,137166413824.0,0.08015,44
BUD,NYQ,Consumer Defensive,Beverages - Brewers,133229314048.0,0.11526,17
DHR,NYQ,Healthcare,Diagnostics & Research,133896839168.0,0.1471,48
UL,NYQ,Consumer Defensive,Household & Personal Products,134337585152.0,0.18749,46
HDB,NYQ,Financial Services,Banks - Regional,130266890240.0,0.26187,25
SCCO,NYQ,Basic Materials,Copper,126148460544.0,0.32301998,30
UTX,,,,,,0
SYK,NYQ,Healthcare,Medical Devices,128457113600.0,0.12923999,46
SPGI,NYQ,Financial Services,Financial Data & Stock Exchanges,128517398528.0,0.29154,53
LOW,NYQ,Consumer Cyclical,Home Improvement Retail,126006534144.0,0.07712,46
BTI,NYQ,Consumer Defensive,Tobacco,125277839360.0,0.30316,46
PBR,NYQ,Energy,Oil & Gas Integrated,121154084864.0,0.22134,26
INTU,NMS,Technology,Software - Application,126770536448.0,0.2157,33
CB,NYQ,Financial Services,Insurance - Property & Casualty,125856694272.0,0.17291,33
ACN,NYQ,Technology,Information Technology Services,124021579776.0,0.10606,25
SMFG,NYQ,Financial Services,Banks - Diversified,121412501504.0,0.20729999,20
SONY,NYQ,Technology,Consumer Electronics,120117829632.0,-0.0161,53
PLD,NYQ,Real Estate,REIT - Industrial,118992838656.0,0.36205003,29
NOW,NYQ,Technology,Software - Application,116466679808.0,0.13165,14
BBVA,NYQ,Financial Services,Banks - Diversified,116640186368.0,0.33212003,38
PGR,NYQ,Financial Services,Insurance - Property & Casualty,120696709120.0,0.12903,46
BMY,NYQ,Healthcare,Drug Manufacturers - General,117056512000.0,0.14637,54
UBS,NYQ,Financial Services,Banks - Diversified,116054818816.0,0.15661,26
ENB,NYQ,Energy,Oil & Gas Midstream,116679450624.0,0.1149,42
BP,NYQ,Energy,Oil & Gas Integrated,114711126016.0,0.00029,64
VRTX,NMS,Healthcare,Biotechnology,115315998720.0,0.32939997,35
IBKR,NMS,Financial Services,Capital Markets,111311462400.0,0.15847999,19
CEG,NMS,Utilities,Utilities - Independent Power Producers,102077652992.0,0.09082,4
GLW,NYQ,Technology,Electronic Components,106883178496.0,0.10212,45
SNDK,NMS,Technology,Computer Hardware,104753889280.0,-0.11659,1
PH,NYQ,Industrials,Specialty Industrial Machinery,112889323520.0,0.17287001,46
HCA,NYQ,Healthcare,Medical Care Facilities,110442536960.0,0.08974,15
COF,NYQ,Financial Services,Credit Services,112855711744.0,0.074829996,32
CME,NMS,Financial Services,Financial Data & Stock Exchanges,110485356544.0,0.62584,24
MDT,NYQ,Healthcare,Medical Devices,110619533312.0,0.13,53
ATEYY,PNK,Technology,Semiconductor Equipment & Materials,111131033600.0,0.27931,25
GLD,PCX,,,107602812928.0,,22
MCK,NYQ,Healthcare,Medical Distribution,109336264704.0,0.01091,32
SNY,NMS,Healthcare,Drug Manufacturers - General,108619268096.0,0.16724001,24
MO,NYQ,Consumer Defensive,Tobacco,108223963136.0,0.34495,64
SBUX,NMS,Consumer Cyclical,Restaurants,105442213888.0,0.036310002,34
CRWD,NMS,Technology,Software - Infrastructure,103728168960.0,-0.033770002,7
WDC,NMS,Technology,Computer Hardware,100210688000.0,0.35644,48
NEM,NYQ,Basic Materials,Gold,104542994432.0,0.31254,46
SO,NYQ,Utilities,Utilities - Regulated Electric,104539947008.0,0.14689,45
CMCSA,NMS,Communication Services,Telecom Services,105745817600.0,0.16166,46
CNQ,NYQ,Energy,Oil & Gas E&P,102254346240.0,0.27914,26
DELL,NYQ,Technology,Computer Hardware,104486264832.0,0.05228,10
GSK,NYQ,Healthcare,Drug Manufacturers - General,104118755328.0,0.17497998,46
BSX,NYQ,Healthcare,Medical Devices,103100366848.0,0.14437,34
VRT,NYQ,Industrials,Electrical Equipment & Parts,97899298816.0,0.13028,8
NOC,NYQ,Industrials,Aerospace & Defense,100895948800.0,0.09968001,45
ADBE,NMS,Technology,Software - Application,101865570304.0,0.29477,40
EQNR,NYQ,Energy,Oil & Gas Integrated,103737942016.0,0.04765,25
DUK,NYQ,Utilities,Utilities - Regulated Electric,98616434688.0,0.15628,46
SPOT,NYQ,Communication Services,Internet Content & Information,97704951808.0,0.12871,8
STX,NMS,Technology,Computer Hardware,92125954048.0,0.19586,24
BMO,NYQ,Financial Services,Banks - Diversified,94864146432.0,0.27076,32
IBN,NYQ,Financial Services,Banks - Regional,95098109952.0,0.27513,26
EQIX,NMS,Real Estate,REIT - Specialty,94242193408.0,0.14579001,26
MFG,NYQ,Financial Services,Banks - Regional,92839559168.0,0.26132,20
GD,NYQ,Industrials,Aerospace & Defense,93495369728.0,0.08011,64
WM,NYQ,Industrials,Waste Management,93267369984.0,0.10744,38
TT,NYQ,Industrials,Building Products & Equipment,90992812032.0,0.13688,46
HWM,NYQ,Industrials,Aerospace & Defense,93062029312.0,0.18274,10
AEM,NYQ,Basic Materials,Gold,89620144128.0,0.37467,53
CVS,NYQ,Healthcare,Healthcare Plans,90937655296.0,0.00442,53
WMB,NYQ,Energy,Oil & Gas Midstream,88453390336.0,0.22129999,45
ICE,NYQ,Financial Services,Financial Data & Stock Exchanges,90333388800.0,0.33380002,21
BAESY,PNK,Industrials,Aerospace & Defense,90647814144.0,0.07277,23
ITUB,NYQ,Financial Services,Banks - Regional,86406750208.0,0.32284,24
CM,NYQ,Financial Services,Banks - Diversified,86770597888.0,0.33528998,29
BN,NYQ,Financial Services,Asset Management,85979865088.0,0.01683,43
PWR,NYQ,Industrials,Engineering & Construction,83097133056.0,0.03611,28
MAR,NMS,Consumer Cyclical,Lodging,84731461632.0,0.37252998,28
AMT,NYQ,Real Estate,REIT - Specialty,82763636736.0,0.23763001,28
ADP,NMS,Technology,Software - Application,84404404224.0,0.19964,46
NGG,NYQ,Utilities,Utilities - Regulated Electric,81519525888.0,0.16428,21
BNS,NYQ,Financial Services,Banks - Diversified,84290961408.0,0.26853,24
IAU,PCX,,,82171707392.0,,21
MELI,NMS,Consumer Cyclical,Internet Retail,82928427008.0,0.069120005,19
FDX,NYQ,Industrials,Integrated Freight & Logistics,84672618496.0,0.04814,48
KKR,NYQ,Financial Services,Asset Management,83350757376.0,0.09241,16
MRSH,NYQ,Financial Services,Insurance Brokers,86459260928.0,0.15418,53
MGCLY,PNK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",82016419840.0,0.09911,1
SNPS,NMS,Technology,Software - Infrastructure,80517357568.0,0.13756,34
UPS,NYQ,Industrials,Integrated Freight & Logistics,81394892800.0,0.06285,27
PNC,NYQ,Financial Services,Banks - Regional,81554153472.0,0.31075,51
JCI,NYQ,Industrials,Building Products & Equipment,79384977408.0,0.14169,39
E,NYQ,Energy,Oil & Gas Integrated,80890281984.0,0.03119,31
EPD,NYQ,Energy,Oil & Gas Midstream,81195737088.0,0.11054,28
BK,NYQ,Financial Services,Banks - Diversified,80153313280.0,0.27739,53
USB,NYQ,Financial Services,Banks - Regional,79626903552.0,0.28724,53
KXIAY,PNK,Technology,Semiconductors,74263568384.0,0.099309996,1
CDNS,NMS,Technology,Software - Application,78321049600.0,0.20934999,39
NKE,NYQ,Consumer Cyclical,Footwear & Accessories,77527678976.0,0.05426,46
ABNB,NMS,Consumer Cyclical,Travel Services,77049536512.0,0.20513001,6
MRVL,NMS,Technology,Semiconductors,76859719680.0,0.32584,26
REGN,NMS,Healthcare,Biotechnology,77478879232.0,0.31409,35
NET,NYQ,Technology,Software - Infrastructure,75823595520.0,-0.04717,7
MCO,NYQ,Financial Services,Financial Data & Stock Exchanges,77453041664.0,0.31861,32
FCX,NYQ,Basic Materials,Copper,74863837184.0,0.08505,31
SHW,NYQ,Basic Materials,Specialty Chemicals,75207073792.0,0.108950004,46
MSI,NYQ,Technology,Communication Equipment,75341152256.0,0.18439,64
SU,NYQ,Energy,Oil & Gas Integrated,75860287488.0,0.12100001,46
EOG,NYQ,Energy,Oil & Gas E&P,75274682368.0,0.21982999,37
MMM,NYQ,Industrials,Conglomerates,74370039808.0,0.13027,64
ITW,NYQ,Industrials,Specialty Industrial Machinery,74263371776.0,0.1911,53
ING,NYQ,Financial Services,Banks - Diversified,72608874496.0,0.34032002,32
NTES,NMS,Communication Services,Electronic Gaming & Multimedia,73184657408.0,0.29975,26
CMI,NYQ,Industrials,Specialty Industrial Machinery,73716793344.0,0.08444,53
LYG,NYQ,Financial Services,Banks - Regional,71603265536.0,0.25011998,25
KMI,NYQ,Energy,Oil & Gas Midstream,73062645760.0,0.18043,15
ORLY,NMS,Consumer Cyclical,Auto Parts,73690284032.0,0.14274,33
RCL,NYQ,Consumer Cyclical,Travel Services,71900766208.0,0.23797001,33
VLO,NYQ,Energy,Oil & Gas Refining & Marketing,73159589888.0,0.02025,44
ECL,NYQ,Basic Materials,Specialty Chemicals,72644280320.0,0.12907,53
CTAS,NMS,Industrials,Specialty Business Services,71741726720.0,0.17584999,43
EMR,NYQ,Industrials,Specialty Industrial Machinery,72059011072.0,0.12718001,54
MDLZ,NMS,Consumer Defensive,Confectioners,72531050496.0,0.0636,25
AMX,NYQ,Communication Services,Telecom Services,70606643200.0,0.08777001,25
MNST,NMS,Consumer Defensive,Beverages - Non-Alcoholic,72088772608.0,0.22973,41
SLB,NYQ,Energy,Oil & Gas Equipment & Services,69997846528.0,0.09449001,45
BCS,NYQ,Financial Services,Banks - Diversified,69643223040.0,0.26743,40
CSX,NMS,Industrials,Railroads,70979280896.0,0.20501,46
PSX,NYQ,Energy,Oil & Gas Refining & Marketing,70318555136.0,0.03326,14
BAM,NYQ,Financial Services,Asset Management,70277447680.0,0.51588,4
MPC,NYQ,Energy,Oil & Gas Refining & Marketing,68535930880.0,0.03039,15
CI,NYQ,Healthcare,Healthcare Plans,70211354624.0,0.02167,44
CP,NYQ,Industrials,Railroads,70256312320.0,0.27464,43
AEP,NMS,Utilities,Utilities - Regulated Electric,67964657664.0,0.16364999,64
HLT,NYQ,Consumer Cyclical,Lodging,68005879808.0,0.29411,13
DASH,NMS,Consumer Cyclical,Internet Retail,68048547840.0,0.06816,6
RSG,NYQ,Industrials,Waste Management,67887296512.0,0.12893,28
GM,NYQ,Consumer Cyclical,Auto Manufacturers,67921629184.0,0.014579999,16
NU,NYQ,Financial Services,Banks - Regional,67688091648.0,0.41035998,5
WBD,NMS,Communication Services,Entertainment,68029419520.0,0.01949,21
ROST,NMS,Consumer Cyclical,Apparel Retail,68684537856.0,0.094289996,41
CL,NYQ,Consumer Defensive,Household & Personal Products,68227772416.0,0.1046,53
AON,NYQ,Financial Services,Insurance Brokers,69989367808.0,0.21506001,46
LHX,NYQ,Industrials,Aerospace & Defense,66001600512.0,0.07345,45
CRH,NYQ,Basic Materials,Building Materials,67229921280.0,0.10022,37
TDG,NYQ,Industrials,Aerospace & Defense,66491408384.0,0.22239,20
TRP,NYQ,Energy,Oil & Gas Midstream,65936908288.0,0.23091999,44
HOOD,NMS,Financial Services,Capital Markets,63822864384.0,0.42097,5
TRV,NYQ,Financial Services,Insurance - Property & Casualty,66160611328.0,0.12878,51
ET,NYQ,Energy,Oil & Gas Midstream,65400381440.0,0.05178,20
APO,NYQ,Financial Services,Asset Management,65007329280.0,0.109840006,15
COR,NYQ,Healthcare,Medical Distribution,63594029056.0,0.0049900003,31
CVNA,NYQ,Consumer Cyclical,Auto & Truck Dealerships,61640450048.0,0.06924,9
B,NYQ,Basic Materials,Gold,62594940928.0,0.29447,41
ELV,NYQ,Healthcare,Healthcare Plans,64331001856.0,0.02843,25
APD,NYQ,Basic Materials,Specialty Chemicals,62568562688.0,-0.02733,46
IMO,ASE,Energy,Oil & Gas Integrated,62955302912.0,0.06965,46
DLR,NYQ,Real Estate,REIT - Specialty,60621111296.0,0.2152,22
NSC,NYQ,Industrials,Railroads,63124951040.0,0.23587999,44
VALE,NYQ,Basic Materials,Other Industrial Metals & Mining,60701675520.0,0.06467,24
SRE,NYQ,Utilities,Utilities - Diversified,59919224832.0,0.134,28
SPG,NYQ,Real Estate,REIT - Retail,59960381440.0,0.7271,33
FTNT,NMS,Technology,Software - Infrastructure,60532957184.0,0.27257,17
CNI,NYQ,Industrials,Railroads,60245135360.0,0.27277002,30
RELX,NYQ,Industrials,Specialty Business Services,61129076736.0,0.21533,32
NWG,NYQ,Financial Services,Banks - Regional,55872327680.0,0.36512002,19
LNG,NYQ,Energy,Oil & Gas Midstream,60457299968.0,0.27352,32
SNOW,NYQ,Technology,Software - Application,57496444928.0,-0.28429002,6
BKR,NMS,Energy,Oil & Gas Equipment & Services,59640070144.0,0.09332,39
PCAR,NMS,Industrials,Farm & Heavy Construction Machinery,58511015936.0,0.08352,46
MPLX,NYQ,Energy,Oil & Gas Midstream,58979610624.0,0.41567,14
EONGY,PNK,Utilities,Utilities - Diversified,59047497728.0,0.021559998,29
O,NYQ,Real Estate,REIT - Retail,57035485184.0,0.18370001,32
LSEGY,OQX,Financial Services,Financial Data & Stock Exchanges,58461835264.0,0.13364,8
CIEN,NYQ,Technology,Communication Equipment,54306406400.0,0.044699997,29
TEL,NYQ,Technology,Electronic Components,57485987840.0,0.11406,19
TAK,NYQ,Healthcare,Drug Manufacturers - Specialty & Generic,56328409088.0,0.025290001,16
DB,NYQ,Financial Services,Banks - Regional,55219650560.0,0.22222,30
MFC,NYQ,Financial Services,Insurance - Life,56673353728.0,0.18667,27
RACE,NYQ,Consumer Cyclical,Auto Manufacturers,55865847808.0,0.22348,11
BDX,NYQ,Healthcare,Medical Instruments & Supplies,55840546816.0,0.08014,53
VST,NYQ,Utilities,Utilities - Independent Power Producers,49475301376.0,0.05322,10
IFNNY,OQX,Technology,Semiconductors,56564948992.0,0.06879,26
OKE,NYQ,Energy,Oil & Gas Midstream,56182996992.0,0.1009,46
AFL,NYQ,Financial Services,Insurance - Life,54848761856.0,0.21242,46
AZO,NYQ,Consumer Cyclical,Auto Parts,54230224896.0,0.12776,35
LITE,NMS,Technology,Communication Equipment,50433388544.0,0.11951,11
WPM,NYQ,Basic Materials,Gold,52199809024.0,0.63584,21
TFC,NYQ,Financial Services,Banks - Regional,56491520000.0,0.28803,46
COIN,NMS,Financial Services,Financial Data & Stock Exchanges,53257375744.0,0.1831,5
SUNB,NYQ,Industrials,Rental & Leasing Services,26821662720.0,0.12675999,0
BMWKY,PNK,Consumer Cyclical,Auto Manufacturers,54280310784.0,0.05466,17
AJG,NYQ,Financial Services,Insurance Brokers,55230222336.0,0.11484,42
FANG,NMS,Energy,Oil & Gas E&P,54311485440.0,0.1164,14
MPWR,NMS,Technology,Semiconductors,52499771392.0,0.22272,22
D,NYQ,Utilities,Utilities - Regulated Electric,52182290432.0,0.18163,46
INFY,NYQ,Technology,Information Technology Services,53862608896.0,0.16153999,27
ALL,NYQ,Financial Services,Insurance - Property & Casualty,53365760000.0,0.15191,33
CTVA,NYQ,Basic Materials,Agricultural Inputs,52254355456.0,0.06287,7
ADSK,NMS,Technology,Software - Application,52573880320.0,0.15597999,41
AED,NYQ,,,52167983104.0,,7
TGT,NYQ,Consumer Defensive,Discount Stores,51290423296.0,0.03536,53
COHR,NYQ,Technology,Scientific & Technical Instruments,47551025152.0,0.04657,39
TRGP,NYQ,Energy,Oil & Gas Midstream,51031707648.0,0.11293,16
ZTS,NYQ,Healthcare,Drug Manufacturers - Specialty & Generic,50974982144.0,0.28235,13
FAST,NMS,Industrials,Industrial Distribution,50250858496.0,0.15345,39
FIX,NYQ,Industrials,Engineering & Construction,47855222784.0,0.112349994,29
EA,NMS,Communication Services,Electronic Gaming & Multimedia,50178371584.0,0.09307,37
KEYS,NYQ,Technology,Scientific & Technical Instruments,47601324032.0,0.16946,12
CAH,NYQ,Healthcare,Medical Distribution,48905728000.0,0.00679,43
XEL,NMS,Utilities,Utilities - Regulated Electric,47895019520.0,0.13757,53
GWW,NYQ,Industrials,Industrial Distribution,49360318464.0,0.09508,53
NDAQ,NMS,Financial Services,Financial Data & Stock Exchanges,49299746816.0,0.34063998,24
CARR,NYQ,Industrials,Building Products & Equipment,48537456640.0,0.06824,6
EXC,NMS,Utilities,Utilities - Regulated Electric,47516250112.0,0.11411,53
PSA,NYQ,Real Estate,REIT - Industrial,46655623168.0,0.36915,46
NXPI,NMS,Technology,Semiconductors,48357830656.0,0.16472,16
AME,NYQ,Industrials,Specialty Industrial Machinery,47959425024.0,0.19999,42
UI,NYQ,Technology,Communication Equipment,46314745856.0,0.299,15
SE,NYQ,Consumer Cyclical,Internet Retail,46680768512.0,0.0688,9
EW,NYQ,Healthcare,Medical Devices,47915999232.0,0.17692,26
ASX,NYQ,Technology,Semiconductors,46605914112.0,0.063,26
TER,NMS,Technology,Semiconductor Equipment & Materials,45531164672.0,0.17368001,53
ETR,NYQ,Utilities,Utilities - Regulated Electric,45253685248.0,0.13581,54
MSTR,NMS,Technology,Software - Application,46135287808.0,0.0,28
CVE,NYQ,Energy,Oil & Gas Integrated,47279214592.0,0.07908,17
BE,NYQ,Industrials,Electrical Equipment & Parts,42115899392.0,-0.04369,8
SCMWY,PNK,Communication Services,Telecom Services,46718554112.0,0.08446,28
CSLLY,OQX,Healthcare,Biotechnology,46512967680.0,0.09061,17
WDS,NYQ,Energy,Oil & Gas E&P,45892554752.0,0.20933,30
CCJ,NYQ,Energy,Uranium,44260982784.0,0.16931999,30
F,NYQ,Consumer Cyclical,Auto Manufacturers,45958758400.0,-0.04369,54
NOK,NYQ,Technology,Communication Equipment,44548624384.0,0.03273,32
IDXX,NMS,Healthcare,Diagnostics & Research,46094979072.0,0.24618,35
DDOG,NMS,Technology,Software - Application,44259725312.0,0.03144,7
URI,NYQ,Industrials,Rental & Leasing Services,45207310336.0,0.15492,29
FER,NMS,Industrials,Engineering & Construction,44395851776.0,0.09224,14
HLN,NYQ,Healthcare,Drug Manufacturers - Specialty & Generic,44834910208.0,0.15113,4
KR,NYQ,Consumer Defensive,Grocery Stores,44944797696.0,0.0068800002,64
GRMN,NYQ,Technology,Scientific & Technical Instruments,44724846592.0,0.22964,26
MET,NYQ,Financial Services,Insurance - Life,45173608448.0,0.04384,26
FNV,NYQ,Basic Materials,Gold,42992947200.0,0.61643004,19
ESLT,NMS,Industrials,Aerospace & Defense,43219574784.0,0.06731,30
TYHOY,PNK,Industrials,Conglomerates,40858558464.0,0.03365,2
GWLIF,PNK,Financial Services,Insurance - Life,41899724800.0,0.11622,25
ABEV,NYQ,Consumer Defensive,Beverages - Brewers,42321440768.0,0.17569,29
FERG,NYQ,Industrials,Industrial Distribution,43681959936.0,0.06125,16
CMG,NYQ,Consumer Cyclical,Restaurants,44124413952.0,0.12878,20
YUM,NYQ,Consumer Cyclical,Restaurants,43427680256.0,0.1898,29
BSBR,NYQ,Financial Services,Banks - Regional,41492975616.0,0.27953,17
AU,NYQ,Basic Materials,Gold,40396132352.0,0.26645002,28
CCEP,NMS,Consumer Defensive,Beverages - Non-Alcoholic,41397641216.0,0.09291001,40
GALDY,PNK,Healthcare,Drug Manufacturers - Specialty & Generic,41718046720.0,0.116960004,2
HSY,NYQ,Consumer Defensive,Confectioners,42613264384.0,0.07554,46
DAL,NYQ,Industrials,Airlines,41434611712.0,0.078990005,19
CRWV,NMS,Technology,Software - Infrastructure,42827812864.0,-0.22744,1
ARGX,NMS,Healthcare,Biotechnology,41086251008.0,0.30415002,9
WCN,NYQ,Industrials,Waste Management,41563357184.0,0.11372,28
BIDU,NMS,Communication Services,Internet Content & Information,38877270016.0,0.0433,21
TRI,NMS,Industrials,Specialty Business Services,41473646592.0,0.20091,24
DEO,NYQ,Consumer Defensive,Beverages - Wineries & Distilleries,41061605376.0,0.12189,35
PYPL,NMS,Financial Services,Credit Services,41178042368.0,0.15775,11
